fair-bench: buffer >= 1024 KB (real-file dists may be larger), adaptive 20-40 runs x 20 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          == n=1024 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1261    3111 |   10751   12375 |  4.64  4.64 |  12
pha      |    1076    2171 |    4139    4328 |  6.95  6.95 |  12
ph_naive |    1105    2226 |    6667    7313 |  4.26  4.15 |  12
ph_flat  |    1263    3114 |   10513   12103 |  4.61  4.63 |  12
td_naive |     312     385 |    1016    1015 |  4.67  4.63 |  12
td_scl_opt |     471     708 |    1541    1576 |  4.64  4.64 |  12
td_nv_simd |     311     389 |    3500    3466 |  4.67  4.63 |  12
td_simdopt   (n/a)
huf0     |    1297     -   |    2491     -   |  4.80   -   |  12
huf0_4x2 |    1294    2829 |    2393    2428 |  4.80  4.78 |  12
fse_stk  |     643     894 |     665     681 |  6.51  6.50 |  12
fse_x8y1 |     376     878 |     651     680 |  6.58  6.50 |  12
oo_huff  |    2283     -   |    3257     -   |  4.80   -   |  12
oo_tans  |     813     -   |    2520     -   |  6.55   -   |  12

