c17	5	proba50	5005
c17	5	proba14	2826
c17	5	proba02	2613
c17	5	bell_s10	3207
c17	5	bell_s30	2422
c17	5	bell_s80	2947
c17	5	uniform	4095
c17	5	english	3281
c17	5	zipfian	2650
c17	5	sparse_4	47798
c17	5	sparse_16	46320
c17	5	geometric	5006
c17	5	two_sym_eq	26239
c17	5	two_sym_90/10	26698
c17	5	flat_M3	23804
c17	5	flat_M5	27423
c17	5	flat_M6	21109
c17	5	flat_M7	5095
c17	5	html_wiki	2450
c17	5	prose_pride	2642
c17	5	image_jpeg	2818
c17	5	json_api	2598
c17	5	source_c	2878
c17	5	log_apache	2562
c17	5	dna_fasta	3839
c17	5	csv_numeric	3603
c17	5	gzip_random	4162
c17	5	chinese_text	2627
c22	5	proba80	9564
c22	5	proba50	5176
c22	5	proba14	2827
c22	5	proba02	2610
c22	5	bell_s10	3136
c22	5	bell_s30	2366
c22	5	bell_s80	2929
c22	5	uniform	4133
c22	5	english	3292
c22	5	zipfian	2668
c22	5	sparse_4	54295
c22	5	sparse_16	52759
c22	5	geometric	5105
c22	5	two_sym_eq	25899
c22	5	two_sym_90/10	26429
c22	5	flat_M3	28388
c22	5	flat_M5	28225
c22	5	flat_M6	23211
c22	5	flat_M7	5096
c22	5	html_wiki	2419
c22	5	prose_pride	2637
c22	5	image_jpeg	2796
c22	5	json_api	2589
c22	5	source_c	2884
c22	5	log_apache	2519
c22	5	dna_fasta	3850
c22	5	csv_numeric	3543
c22	5	gzip_random	4114
c22	5	chinese_text	2591
g15	5	proba80	9412
g15	5	proba50	4872
g15	5	proba14	2669
g15	5	proba02	2370
g15	5	bell_s10	2994
g15	5	bell_s30	2115
g15	5	bell_s80	2834
g15	5	uniform	4113
g15	5	english	3096
g15	5	zipfian	2488
g15	5	sparse_4	51119
g15	5	sparse_16	60393
g15	5	geometric	4817
g15	5	two_sym_eq	28302
g15	5	two_sym_90/10	28388
g15	5	flat_M3	18165
g15	5	flat_M5	13469
g15	5	flat_M6	11114
g15	5	flat_M7	5295
g15	5	html_wiki	2156
g15	5	prose_pride	2414
g15	5	image_jpeg	2676
g15	5	json_api	2417
g15	5	source_c	2634
g15	5	log_apache	2297
g15	5	dna_fasta	3765
g15	5	csv_numeric	3287
g15	5	gzip_random	4122
g15	5	chinese_text	2432
