| Compressor name          | Compression | Decompress. | Compr. size |  Ratio | Filename             |
| misa77 0.2.0 -0          |   49.3 MB/s |   5907 MB/s |    16130530 |  38.91 | silesia/webster      |
| misa77 0.2.0 -1          |   51.5 MB/s |   5135 MB/s |    14653209 |  35.34 | silesia/webster      |
| misa77 0.2.0 adaptive -0 |   5.69 MB/s |   6450 MB/s |    16096867 |  38.83 | silesia/webster      |
| misa77 0.2.0 adaptive -1 |   5.92 MB/s |   6156 MB/s |    15097219 |  36.42 | silesia/webster      |
| lz4 1.10.0               |    275 MB/s |   2284 MB/s |    20139988 |  48.58 | silesia/webster      |
| lz4hc 1.10.0 -12         |   9.20 MB/s |   2112 MB/s |    13823143 |  33.34 | silesia/webster      |
| lzsse4fast 2019-04-18    |    160 MB/s |   2968 MB/s |    16613479 |  40.07 | silesia/webster      |
| lzsse8fast 2019-04-18    |    153 MB/s |   2835 MB/s |    16775799 |  40.46 | silesia/webster      |
| snappy 1.2.2             |    264 MB/s |    656 MB/s |    19984210 |  48.20 | silesia/webster      |
| zxc 0.12.0 -3            |   77.2 MB/s |   2414 MB/s |    17050225 |  41.13 | silesia/webster      |
| zxc 0.12.0 -4            |   57.9 MB/s |   2395 MB/s |    16781584 |  40.48 | silesia/webster      |
| zxc 0.12.0 -5            |   39.0 MB/s |   2340 MB/s |    15942227 |  38.45 | silesia/webster      |
| zstd 1.5.7 -1            |    227 MB/s |    920 MB/s |    13661986 |  32.95 | silesia/webster      |
| zstd 1.5.7 -3            |    146 MB/s |    871 MB/s |    12096850 |  29.18 | silesia/webster      |
| lizard 2.1 -10           |    247 MB/s |   2233 MB/s |    20153547 |  48.61 | silesia/webster      |
| misa77 0.2.0 -0          |    111 MB/s |   9616 MB/s |     1087784 |  20.35 | silesia/xml          |
| misa77 0.2.0 -1          |    112 MB/s |   8966 MB/s |     1037015 |  19.40 | silesia/xml          |
| misa77 0.2.0 adaptive -0 |   2.13 MB/s |  10568 MB/s |     1087186 |  20.34 | silesia/xml          |
| misa77 0.2.0 adaptive -1 |   2.16 MB/s |  10328 MB/s |     1047360 |  19.59 | silesia/xml          |
| lz4 1.10.0               |    501 MB/s |   2577 MB/s |     1227495 |  22.96 | silesia/xml          |
| lz4hc 1.10.0 -12         |   15.5 MB/s |   3590 MB/s |      759893 |  14.22 | silesia/xml          |
| lzsse4fast 2019-04-18    |    252 MB/s |   3474 MB/s |     1388503 |  25.98 | silesia/xml          |
| lzsse8fast 2019-04-18    |    248 MB/s |   3302 MB/s |     1406119 |  26.31 | silesia/xml          |
| snappy 1.2.2             |    536 MB/s |   1306 MB/s |     1299366 |  24.31 | silesia/xml          |
| zxc 0.12.0 -3            |    182 MB/s |   3017 MB/s |     1011752 |  18.93 | silesia/xml          |
| zxc 0.12.0 -4            |    136 MB/s |   3108 MB/s |      985654 |  18.44 | silesia/xml          |
| zxc 0.12.0 -5            |   88.8 MB/s |   3325 MB/s |      896781 |  16.78 | silesia/xml          |
| zstd 1.5.7 -1            |    459 MB/s |   1415 MB/s |      693317 |  12.97 | silesia/xml          |
| zstd 1.5.7 -3            |    374 MB/s |   1405 MB/s |      635299 |  11.89 | silesia/xml          |
| lizard 2.1 -10           |    454 MB/s |   2332 MB/s |     1240098 |  23.20 | silesia/xml          |
| misa77 0.2.0 -0          |   78.7 MB/s |  12003 MB/s |     8376906 |  98.85 | silesia/x-ray        |
| misa77 0.2.0 -1          |   22.4 MB/s |   1774 MB/s |     7268810 |  85.78 | silesia/x-ray        |
| misa77 0.2.0 adaptive -0 |   4.62 MB/s |   4044 MB/s |     7710396 |  90.99 | silesia/x-ray        |
| misa77 0.2.0 adaptive -1 |   4.82 MB/s |   2854 MB/s |     7402881 |  87.36 | silesia/x-ray        |
| lz4 1.10.0               |   1083 MB/s |   7656 MB/s |     8390195 |  99.01 | silesia/x-ray        |
| lz4hc 1.10.0 -12         |   19.1 MB/s |   1842 MB/s |     7172970 |  84.64 | silesia/x-ray        |
| lzsse4fast 2019-04-18    |    117 MB/s |   1965 MB/s |     7525821 |  88.81 | silesia/x-ray        |
| lzsse8fast 2019-04-18    |    111 MB/s |   2570 MB/s |     7248659 |  85.54 | silesia/x-ray        |
| snappy 1.2.2             |   5764 MB/s |  10228 MB/s |     8457853 |  99.81 | silesia/x-ray        |
| zxc 0.12.0 -3            |   3824 MB/s |  13707 MB/s |     8474348 | 100.00 | silesia/x-ray        |
| zxc 0.12.0 -4            |   3949 MB/s |  13721 MB/s |     8474338 | 100.00 | silesia/x-ray        |
| zxc 0.12.0 -5            |   34.3 MB/s |   2657 MB/s |     7616482 |  89.88 | silesia/x-ray        |
| zstd 1.5.7 -1            |    504 MB/s |    721 MB/s |     6772118 |  79.91 | silesia/x-ray        |
| zstd 1.5.7 -3            |    112 MB/s |    548 MB/s |     6085208 |  71.81 | silesia/x-ray        |
| lizard 2.1 -10           |    749 MB/s |  13332 MB/s |     8459685 |  99.83 | silesia/x-ray        |
| misa77 0.2.0 -0          |   38.7 MB/s |   4802 MB/s |    48593916 |  48.59 | enwik/enwik8         |
| misa77 0.2.0 -1          |   40.6 MB/s |   4134 MB/s |    44049141 |  44.05 | enwik/enwik8         |
| misa77 0.2.0 adaptive -0 |   6.88 MB/s |   5306 MB/s |    48665848 |  48.67 | enwik/enwik8         |
| misa77 0.2.0 adaptive -1 |   7.21 MB/s |   5028 MB/s |    45828054 |  45.83 | enwik/enwik8         |
| lz4 1.10.0               |    276 MB/s |   2355 MB/s |    57262281 |  57.26 | enwik/enwik8         |
| lz4hc 1.10.0 -12         |   9.89 MB/s |   2167 MB/s |    41913140 |  41.91 | enwik/enwik8         |
| lzsse4fast 2019-04-18    |    141 MB/s |   2581 MB/s |    47108403 |  47.11 | enwik/enwik8         |
| lzsse8fast 2019-04-18    |    135 MB/s |   2553 MB/s |    47249359 |  47.25 | enwik/enwik8         |
| snappy 1.2.2             |    240 MB/s |    568 MB/s |    55933707 |  55.93 | enwik/enwik8         |
| zxc 0.12.0 -3            |   70.1 MB/s |   2674 MB/s |    52051664 |  52.05 | enwik/enwik8         |
| zxc 0.12.0 -4            |   52.7 MB/s |   2593 MB/s |    48603281 |  48.60 | enwik/enwik8         |
| zxc 0.12.0 -5            |   38.7 MB/s |   2627 MB/s |    46851533 |  46.85 | enwik/enwik8         |
| zstd 1.5.7 -1            |    225 MB/s |    831 MB/s |    40662735 |  40.66 | enwik/enwik8         |
| zstd 1.5.7 -3            |    131 MB/s |    800 MB/s |    35419425 |  35.42 | enwik/enwik8         |
| lizard 2.1 -10           |    240 MB/s |   2462 MB/s |    57311326 |  57.31 | enwik/enwik8         |
