| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| misa77 0.3.0 safe -1  |   24.1 MB/s |   2804 MB/s |     5965605 |  82.26 | silesia/sao         |
| lz4hc 1.10.0 -12      |   11.7 MB/s |   2271 MB/s |     5668734 |  78.17 | silesia/sao         |
| lzsse4fast 2019-04-18 |    112 MB/s |   2039 MB/s |     6305407 |  86.95 | silesia/sao         |
| lzsse8fast 2019-04-18 |    109 MB/s |   2783 MB/s |     6045723 |  83.37 | silesia/sao         |
| snappy 1.2.2          |    310 MB/s |    799 MB/s |     6437634 |  88.77 | silesia/sao         |
| zxc 0.13.1 -3         |   4078 MB/s |  13185 MB/s |     7249515 |  99.97 | silesia/sao         |
| zxc 0.13.1 -4         |   87.4 MB/s |   4399 MB/s |     6788513 |  93.61 | silesia/sao         |
| zxc 0.13.1 -5         |   30.1 MB/s |   2201 MB/s |     6036177 |  83.24 | silesia/sao         |
| zstd 1.5.7 -1         |    246 MB/s |    590 MB/s |     6250010 |  86.18 | silesia/sao         |
| lzav 5.11 -1          |    270 MB/s |   1680 MB/s |     6146264 |  84.75 | silesia/sao         |
| lz4 1.10.0            |    275 MB/s |   2291 MB/s |    20139988 |  48.58 | silesia/webster     |
| misa77 0.3.0 -0       |   49.2 MB/s |   6091 MB/s |    16130530 |  38.91 | silesia/webster     |
| misa77 0.3.0 -1       |   51.9 MB/s |   5353 MB/s |    14653209 |  35.34 | silesia/webster     |
| misa77 0.3.0 safe -0  |   49.2 MB/s |   5945 MB/s |    16130530 |  38.91 | silesia/webster     |
| misa77 0.3.0 safe -1  |   52.0 MB/s |   5203 MB/s |    14653209 |  35.34 | silesia/webster     |
| lz4hc 1.10.0 -12      |   9.19 MB/s |   2118 MB/s |    13823143 |  33.34 | silesia/webster     |
| lzsse4fast 2019-04-18 |    160 MB/s |   2992 MB/s |    16613479 |  40.07 | silesia/webster     |
| lzsse8fast 2019-04-18 |    152 MB/s |   2851 MB/s |    16775799 |  40.46 | silesia/webster     |
| snappy 1.2.2          |    265 MB/s |    658 MB/s |    19984210 |  48.20 | silesia/webster     |
| zxc 0.13.1 -3         |   76.9 MB/s |   2401 MB/s |    17050225 |  41.13 | silesia/webster     |
| zxc 0.13.1 -4         |   57.6 MB/s |   2385 MB/s |    16781584 |  40.48 | silesia/webster     |
| zxc 0.13.1 -5         |   38.6 MB/s |   2335 MB/s |    15942227 |  38.45 | silesia/webster     |
| zstd 1.5.7 -1         |    228 MB/s |    921 MB/s |    13661986 |  32.95 | silesia/webster     |
| lzav 5.11 -1          |    198 MB/s |   1328 MB/s |    15120347 |  36.47 | silesia/webster     |
| lz4 1.10.0            |    502 MB/s |   2567 MB/s |     1227495 |  22.96 | silesia/xml         |
| misa77 0.3.0 -0       |    111 MB/s |   9826 MB/s |     1087784 |  20.35 | silesia/xml         |
| misa77 0.3.0 -1       |    113 MB/s |   9251 MB/s |     1037015 |  19.40 | silesia/xml         |
| misa77 0.3.0 safe -0  |    111 MB/s |   9656 MB/s |     1087784 |  20.35 | silesia/xml         |
| misa77 0.3.0 safe -1  |    113 MB/s |   9084 MB/s |     1037015 |  19.40 | silesia/xml         |
| lz4hc 1.10.0 -12      |   15.5 MB/s |   3596 MB/s |      759893 |  14.22 | silesia/xml         |
| lzsse4fast 2019-04-18 |    253 MB/s |   3498 MB/s |     1388503 |  25.98 | silesia/xml         |
| lzsse8fast 2019-04-18 |    247 MB/s |   3315 MB/s |     1406119 |  26.31 | silesia/xml         |
| snappy 1.2.2          |    532 MB/s |   1307 MB/s |     1299366 |  24.31 | silesia/xml         |
| zxc 0.13.1 -3         |    182 MB/s |   3004 MB/s |     1011752 |  18.93 | silesia/xml         |
| zxc 0.13.1 -4         |    135 MB/s |   3087 MB/s |      985654 |  18.44 | silesia/xml         |
| zxc 0.13.1 -5         |   87.9 MB/s |   3319 MB/s |      896781 |  16.78 | silesia/xml         |
| zstd 1.5.7 -1         |    457 MB/s |   1417 MB/s |      693317 |  12.97 | silesia/xml         |
| lzav 5.11 -1          |    507 MB/s |   2479 MB/s |      895702 |  16.76 | silesia/xml         |
| lz4 1.10.0            |   1077 MB/s |   7565 MB/s |     8390195 |  99.01 | silesia/x-ray       |
| misa77 0.3.0 -0       |   79.5 MB/s |  12084 MB/s |     8376906 |  98.85 | silesia/x-ray       |
| misa77 0.3.0 -1       |   22.8 MB/s |   1787 MB/s |     7268810 |  85.78 | silesia/x-ray       |
| misa77 0.3.0 safe -0  |   79.4 MB/s |  11754 MB/s |     8376906 |  98.85 | silesia/x-ray       |
| misa77 0.3.0 safe -1  |   22.8 MB/s |   1768 MB/s |     7268810 |  85.78 | silesia/x-ray       |
| lz4hc 1.10.0 -12      |   19.0 MB/s |   1839 MB/s |     7172970 |  84.64 | silesia/x-ray       |
| lzsse4fast 2019-04-18 |    117 MB/s |   1973 MB/s |     7525821 |  88.81 | silesia/x-ray       |
| lzsse8fast 2019-04-18 |    112 MB/s |   2580 MB/s |     7248659 |  85.54 | silesia/x-ray       |
| snappy 1.2.2          |   5758 MB/s |  10240 MB/s |     8457853 |  99.81 | silesia/x-ray       |
| zxc 0.13.1 -3         |   5000 MB/s |  13727 MB/s |     8474348 | 100.00 | silesia/x-ray       |
| zxc 0.13.1 -4         |   5205 MB/s |  13726 MB/s |     8474338 | 100.00 | silesia/x-ray       |
| zxc 0.13.1 -5         |   34.0 MB/s |   2636 MB/s |     7616482 |  89.88 | silesia/x-ray       |
| zstd 1.5.7 -1         |    506 MB/s |    722 MB/s |     6772118 |  79.91 | silesia/x-ray       |
| lzav 5.11 -1          |   7586 MB/s |  13483 MB/s |     8474015 | 100.00 | silesia/x-ray       |
| lz4 1.10.0            |    276 MB/s |   2361 MB/s |    57262281 |  57.26 | enwik/enwik8        |
| misa77 0.3.0 -0       |   38.7 MB/s |   4967 MB/s |    48593916 |  48.59 | enwik/enwik8        |
| misa77 0.3.0 -1       |   40.9 MB/s |   4315 MB/s |    44049141 |  44.05 | enwik/enwik8        |
| misa77 0.3.0 safe -0  |   38.7 MB/s |   4841 MB/s |    48593916 |  48.59 | enwik/enwik8        |
| misa77 0.3.0 safe -1  |   40.9 MB/s |   4157 MB/s |    44049141 |  44.05 | enwik/enwik8        |
| lz4hc 1.10.0 -12      |   9.84 MB/s |   2169 MB/s |    41913140 |  41.91 | enwik/enwik8        |
| lzsse4fast 2019-04-18 |    141 MB/s |   2602 MB/s |    47108403 |  47.11 | enwik/enwik8        |
| lzsse8fast 2019-04-18 |    135 MB/s |   2562 MB/s |    47249359 |  47.25 | enwik/enwik8        |
| snappy 1.2.2          |    239 MB/s |    568 MB/s |    55933707 |  55.93 | enwik/enwik8        |
| zxc 0.13.1 -3         |   69.8 MB/s |   2672 MB/s |    52051664 |  52.05 | enwik/enwik8        |
| zxc 0.13.1 -4         |   52.4 MB/s |   2591 MB/s |    48603281 |  48.60 | enwik/enwik8        |
| zxc 0.13.1 -5         |   38.2 MB/s |   2626 MB/s |    46851533 |  46.85 | enwik/enwik8        |
| zstd 1.5.7 -1         |    225 MB/s |    831 MB/s |    40662735 |  40.66 | enwik/enwik8        |
| lzav 5.11 -1          |    186 MB/s |   1154 MB/s |    44614214 |  44.61 | enwik/enwik8        |
| lz4 1.10.0            |    272 MB/s |   2223 MB/s |     3798537 |  41.79 | misc/sqlite3.c      |
| misa77 0.3.0 -0       |   60.0 MB/s |   6550 MB/s |     3111560 |  34.23 | misc/sqlite3.c      |
| misa77 0.3.0 -1       |   61.4 MB/s |   5844 MB/s |     2907034 |  31.98 | misc/sqlite3.c      |
| misa77 0.3.0 safe -0  |   60.0 MB/s |   6308 MB/s |     3111560 |  34.23 | misc/sqlite3.c      |
| misa77 0.3.0 safe -1  |   61.3 MB/s |   5626 MB/s |     2907034 |  31.98 | misc/sqlite3.c      |
| lz4hc 1.10.0 -12      |   7.51 MB/s |   2357 MB/s |     2664839 |  29.32 | misc/sqlite3.c      |
