| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| misa77 0.6.0 -1       |    104 MB/s |  11960 MB/s |     5207945 |  51.10 | silesia/dickens |
| misa77 0.6.0 -2       |   79.9 MB/s |  11026 MB/s |     4836078 |  47.45 | silesia/dickens |
| misa77 0.6.0 -3       |   19.8 MB/s |   9498 MB/s |     4378961 |  42.96 | silesia/dickens |
| misa77 0.6.0 -4       |   14.7 MB/s |   8622 MB/s |     4138278 |  40.60 | silesia/dickens |
| misa77 0.6.0 safe --1 |    313 MB/s |   8921 MB/s |     5937040 |  58.25 | silesia/dickens |
| misa77 0.6.0 safe -0  |    216 MB/s |  11284 MB/s |     5207389 |  51.09 | silesia/dickens |
| misa77 0.6.0 safe -1  |    104 MB/s |  11806 MB/s |     5207945 |  51.10 | silesia/dickens |
| misa77 0.6.0 safe -2  |   80.0 MB/s |  10836 MB/s |     4836078 |  47.45 | silesia/dickens |
| misa77 0.6.0 safe -3  |   19.8 MB/s |   9414 MB/s |     4378961 |  42.96 | silesia/dickens |
| lz4hc 1.10.0 -9       |   33.0 MB/s |   3716 MB/s |     4432823 |  43.49 | silesia/dickens |
| lz4hc 1.10.0 -12      |   18.7 MB/s |   3612 MB/s |     4376097 |  42.93 | silesia/dickens |
| snappy 1.2.2          |    590 MB/s |   2083 MB/s |     6249045 |  61.31 | silesia/dickens |
| zxc 0.13.1 -3         |    164 MB/s |   8666 MB/s |     5813174 |  57.03 | silesia/dickens |
| zxc 0.13.1 -4         |    111 MB/s |   7982 MB/s |     5221630 |  51.23 | silesia/dickens |
| zxc 0.13.1 -5         |   70.5 MB/s |   8125 MB/s |     4956392 |  48.63 | silesia/dickens |
| zstd 1.5.7 -1         |    525 MB/s |   1377 MB/s |     4261734 |  41.81 | silesia/dickens |
| lzav 5.16 -1          |    413 MB/s |   3081 MB/s |     4571036 |  44.85 | silesia/dickens |
| lzav 5.16 -2          |    145 MB/s |   3969 MB/s |     3913764 |  38.40 | silesia/dickens |
| lz4 1.10.0            |   3067 MB/s |  24140 MB/s |     8390195 |  99.01 | silesia/x-ray   |
| misa77 0.6.0 --1      |   1235 MB/s |  30229 MB/s |     8429184 |  99.47 | silesia/x-ray   |
| misa77 0.6.0 -0       |   1020 MB/s |  45055 MB/s |     8436476 |  99.55 | silesia/x-ray   |
| misa77 0.6.0 -1       |    205 MB/s |  38798 MB/s |     8376906 |  98.85 | silesia/x-ray   |
| misa77 0.6.0 -2       |   46.7 MB/s |   4378 MB/s |     7426465 |  87.64 | silesia/x-ray   |
| misa77 0.6.0 -3       |   22.5 MB/s |   4180 MB/s |     7252919 |  85.59 | silesia/x-ray   |
| misa77 0.6.0 -4       |   15.2 MB/s |   5385 MB/s |     6922700 |  81.69 | silesia/x-ray   |
| misa77 0.6.0 safe --1 |   1226 MB/s |  29437 MB/s |     8429184 |  99.47 | silesia/x-ray   |
| misa77 0.6.0 safe -0  |   1019 MB/s |  44251 MB/s |     8436476 |  99.55 | silesia/x-ray   |
| misa77 0.6.0 safe -1  |    206 MB/s |  38308 MB/s |     8376906 |  98.85 | silesia/x-ray   |
| misa77 0.6.0 safe -2  |   46.6 MB/s |   4294 MB/s |     7426465 |  87.64 | silesia/x-ray   |
| misa77 0.6.0 safe -3  |   22.4 MB/s |   4105 MB/s |     7252919 |  85.59 | silesia/x-ray   |
| lz4hc 1.10.0 -9       |   66.2 MB/s |   3824 MB/s |     7175001 |  84.67 | silesia/x-ray   |
| lz4hc 1.10.0 -12      |   44.4 MB/s |   3771 MB/s |     7172970 |  84.64 | silesia/x-ray   |
| snappy 1.2.2          |  19732 MB/s |  51541 MB/s |     8457853 |  99.81 | silesia/x-ray   |
| zxc 0.13.1 -3         |  12080 MB/s |  84356 MB/s |     8474348 | 100.00 | silesia/x-ray   |
| zxc 0.13.1 -4         |  12977 MB/s |  81320 MB/s |     8474338 | 100.00 | silesia/x-ray   |
| zxc 0.13.1 -5         |   77.0 MB/s |   8315 MB/s |     7616482 |  89.88 | silesia/x-ray   |
| zstd 1.5.7 -1         |    895 MB/s |   1343 MB/s |     6772118 |  79.91 | silesia/x-ray   |
| lzav 5.16 -1          |  25589 MB/s |  48516 MB/s |     8473995 | 100.00 | silesia/x-ray   |
| lzav 5.16 -2          |   95.7 MB/s |   2621 MB/s |     7145368 |  84.32 | silesia/x-ray   |
| lz4 1.10.0            |    897 MB/s |   5070 MB/s |     4338918 |  70.53 | silesia/ooffice |
| misa77 0.6.0 --1      |    561 MB/s |   5005 MB/s |     4377208 |  71.15 | silesia/ooffice |
| misa77 0.6.0 -0       |    318 MB/s |   7836 MB/s |     4139559 |  67.29 | silesia/ooffice |
| misa77 0.6.0 -1       |   73.1 MB/s |   9281 MB/s |     4057627 |  65.95 | silesia/ooffice |
| misa77 0.6.0 -2       |   62.8 MB/s |   8917 MB/s |     3809483 |  61.92 | silesia/ooffice |
| misa77 0.6.0 -3       |   18.8 MB/s |   8466 MB/s |     3631718 |  59.03 | silesia/ooffice |
| misa77 0.6.0 -4       |   14.9 MB/s |   8869 MB/s |     3646223 |  59.27 | silesia/ooffice |
| misa77 0.6.0 safe --1 |    560 MB/s |   4936 MB/s |     4377208 |  71.15 | silesia/ooffice |
| misa77 0.6.0 safe -0  |    317 MB/s |   7600 MB/s |     4139559 |  67.29 | silesia/ooffice |
| misa77 0.6.0 safe -1  |   73.0 MB/s |   9054 MB/s |     4057627 |  65.95 | silesia/ooffice |
| misa77 0.6.0 safe -2  |   62.8 MB/s |   8735 MB/s |     3809483 |  61.92 | silesia/ooffice |
| misa77 0.6.0 safe -3  |   18.8 MB/s |   8270 MB/s |     3631718 |  59.03 | silesia/ooffice |
| lz4hc 1.10.0 -9       |   55.1 MB/s |   4294 MB/s |     3543764 |  57.60 | silesia/ooffice |
| lz4hc 1.10.0 -12      |   25.2 MB/s |   4174 MB/s |     3535250 |  57.46 | silesia/ooffice |
| snappy 1.2.2          |    758 MB/s |   2555 MB/s |     4290349 |  69.74 | silesia/ooffice |
| zxc 0.13.1 -3         |    237 MB/s |  12737 MB/s |     4871085 |  79.18 | silesia/ooffice |
| zxc 0.13.1 -4         |    112 MB/s |   7548 MB/s |     3984641 |  64.77 | silesia/ooffice |
| zxc 0.13.1 -5         |   87.4 MB/s |   7573 MB/s |     3862608 |  62.78 | silesia/ooffice |
| zstd 1.5.7 -1         |    674 MB/s |   1234 MB/s |     3593224 |  58.41 | silesia/ooffice |
| lzav 5.16 -1          |    718 MB/s |   4281 MB/s |     4062791 |  66.04 | silesia/ooffice |
| lzav 5.16 -2          |    143 MB/s |   3187 MB/s |     3549620 |  57.70 | silesia/ooffice |
| lz4 1.10.0            |   1224 MB/s |   6209 MB/s |     1227495 |  22.96 | silesia/xml     |
| misa77 0.6.0 --1      |    691 MB/s |  21513 MB/s |     1307347 |  24.46 | silesia/xml     |
| misa77 0.6.0 -0       |    522 MB/s |  18777 MB/s |     1268929 |  23.74 | silesia/xml     |
| misa77 0.6.0 -1       |    238 MB/s |  22916 MB/s |     1087784 |  20.35 | silesia/xml     |
| misa77 0.6.0 -2       |    205 MB/s |  22629 MB/s |     1043730 |  19.53 | silesia/xml     |
| misa77 0.6.0 -3       |   22.2 MB/s |  22202 MB/s |      948505 |  17.74 | silesia/xml     |
| misa77 0.6.0 -4       |   13.9 MB/s |  18426 MB/s |      686811 |  12.85 | silesia/xml     |
| misa77 0.6.0 safe --1 |    691 MB/s |  20174 MB/s |     1307347 |  24.46 | silesia/xml     |
| misa77 0.6.0 safe -0  |    538 MB/s |  18578 MB/s |     1268929 |  23.74 | silesia/xml     |
| misa77 0.6.0 safe -1  |    245 MB/s |  22669 MB/s |     1087784 |  20.35 | silesia/xml     |
| misa77 0.6.0 safe -2  |    206 MB/s |  22099 MB/s |     1043730 |  19.53 | silesia/xml     |
| misa77 0.6.0 safe -3  |   26.0 MB/s |  22187 MB/s |      948505 |  17.74 | silesia/xml     |
| lz4hc 1.10.0 -9       |   95.4 MB/s |   8653 MB/s |      770055 |  14.41 | silesia/xml     |
| lz4hc 1.10.0 -12      |   35.2 MB/s |   8496 MB/s |      759893 |  14.22 | silesia/xml     |
| snappy 1.2.2          |   1436 MB/s |   5303 MB/s |     1299366 |  24.31 | silesia/xml     |
| zxc 0.13.1 -3         |    435 MB/s |  10967 MB/s |     1011752 |  18.93 | silesia/xml     |
| zxc 0.13.1 -4         |    325 MB/s |  11543 MB/s |      985654 |  18.44 | silesia/xml     |
| zxc 0.13.1 -5         |    217 MB/s |  12632 MB/s |      896781 |  16.78 | silesia/xml     |
