| Compressor name          | Compression | Decompress. |  Ratio | Filename            |
| zstd 1.5.7 -3            |    476 MB/s |   1805 MB/s |   9.91 | misc/gharchive.json |
| lizard 2.1 -10           |    517 MB/s |   2750 MB/s |  20.42 | misc/gharchive.json |
| lz4 1.10.0               |    315 MB/s |   1522 MB/s |  55.94 | misc/ecoli          |
| misa77 0.1.0             |   45.9 MB/s |   4240 MB/s |  48.93 | misc/ecoli          |
| misa77 0.1.0 adaptive -0 |   3.21 MB/s |   5502 MB/s |  55.44 | misc/ecoli          |
| misa77 0.1.0 adaptive -1 |   3.27 MB/s |   4845 MB/s |  50.52 | misc/ecoli          |
| misa77 0.1.0 yolo        |   9.66 MB/s |   6156 MB/s |  61.10 | misc/ecoli          |
| lz4hc 1.10.0 -12         |   0.95 MB/s |   2378 MB/s |  35.65 | misc/ecoli          |
| lzsse2 2019-04-18 -17    |   2.95 MB/s |   4272 MB/s |  30.24 | misc/ecoli          |
| lzsse4fast 2019-04-18    |    166 MB/s |   1936 MB/s |  57.16 | misc/ecoli          |
| lzsse8fast 2019-04-18    |    170 MB/s |   1980 MB/s |  57.59 | misc/ecoli          |
| snappy 1.2.2             |    378 MB/s |    745 MB/s |  46.59 | misc/ecoli          |
| zxc 0.12.0 -3            |   80.7 MB/s |   2253 MB/s |  48.11 | misc/ecoli          |
| zxc 0.12.0 -4            |   61.3 MB/s |   2308 MB/s |  47.71 | misc/ecoli          |
| zxc 0.12.0 -5            |   14.8 MB/s |   2664 MB/s |  41.05 | misc/ecoli          |
| zstd 1.5.7 -1            |    179 MB/s |    793 MB/s |  30.44 | misc/ecoli          |
| zstd 1.5.7 -3            |    172 MB/s |    853 MB/s |  30.02 | misc/ecoli          |
| lizard 2.1 -10           |    290 MB/s |   1934 MB/s |  55.95 | misc/ecoli          |
| lz4 1.10.0               |    556 MB/s |   2223 MB/s |  18.81 | misc/nasa_http.log  |
| misa77 0.1.0             |    109 MB/s |   9574 MB/s |  15.30 | misc/nasa_http.log  |
| misa77 0.1.0 adaptive -0 |   4.42 MB/s |  10578 MB/s |  16.29 | misc/nasa_http.log  |
| misa77 0.1.0 adaptive -1 |   4.46 MB/s |  10466 MB/s |  15.66 | misc/nasa_http.log  |
| misa77 0.1.0 yolo        |   5.97 MB/s |  10642 MB/s |  16.29 | misc/nasa_http.log  |
| lz4hc 1.10.0 -12         |   12.6 MB/s |   3659 MB/s |  11.90 | misc/nasa_http.log  |
| lzsse2 2019-04-18 -17    |   3.61 MB/s |   6074 MB/s |  11.60 | misc/nasa_http.log  |
