| Compressor name      | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| zxc 0.13.1 -7        |   33.9 MB/s |   2297 MB/s |     6098748 |  71.97 | silesia/x-ray   |
| zstd 1.5.7 -1        |    895 MB/s |   1343 MB/s |     6772118 |  79.91 | silesia/x-ray   |
| lzav 5.11 -1         |  25712 MB/s |  49126 MB/s |     8474015 | 100.00 | silesia/x-ray   |
| lzav 5.11 -2         |   93.5 MB/s |   2659 MB/s |     7152549 |  84.40 | silesia/x-ray   |
| lz4 1.10.0           |    897 MB/s |   4932 MB/s |     4338918 |  70.53 | silesia/ooffice |
| misa77 0.5.0 -0      |   73.3 MB/s |   9313 MB/s |     4057627 |  65.95 | silesia/ooffice |
| misa77 0.5.0 -1      |   78.2 MB/s |   7992 MB/s |     3704055 |  60.21 | silesia/ooffice |
| misa77 0.5.0 -2      |   16.4 MB/s |   8925 MB/s |     3646223 |  59.27 | silesia/ooffice |
| misa77 0.5.0 safe -0 |   73.3 MB/s |   9914 MB/s |     4057627 |  65.95 | silesia/ooffice |
| misa77 0.5.0 safe -1 |   78.2 MB/s |   8201 MB/s |     3704055 |  60.21 | silesia/ooffice |
| lz4hc 1.10.0 -9      |   55.1 MB/s |   4250 MB/s |     3543764 |  57.60 | silesia/ooffice |
| lz4hc 1.10.0 -12     |   25.2 MB/s |   4145 MB/s |     3535250 |  57.46 | silesia/ooffice |
| snappy 1.2.2         |    759 MB/s |   2554 MB/s |     4290349 |  69.74 | silesia/ooffice |
| zxc 0.13.1 -3        |    238 MB/s |  11968 MB/s |     4871085 |  79.18 | silesia/ooffice |
| zxc 0.13.1 -4        |    112 MB/s |   7820 MB/s |     3984641 |  64.77 | silesia/ooffice |
| zxc 0.13.1 -5        |   87.6 MB/s |   7632 MB/s |     3862608 |  62.78 | silesia/ooffice |
| zxc 0.13.1 -7        |   20.2 MB/s |   3278 MB/s |     3379626 |  54.93 | silesia/ooffice |
| zstd 1.5.7 -1        |    675 MB/s |   1235 MB/s |     3593224 |  58.41 | silesia/ooffice |
| lzav 5.11 -1         |    685 MB/s |   4067 MB/s |     4017547 |  65.30 | silesia/ooffice |
| lzav 5.11 -2         |    139 MB/s |   3250 MB/s |     3560078 |  57.87 | silesia/ooffice |
| lz4 1.10.0           |   1230 MB/s |   6145 MB/s |     1227495 |  22.96 | silesia/xml     |
| misa77 0.5.0 -0      |    244 MB/s |  22871 MB/s |     1087784 |  20.35 | silesia/xml     |
| misa77 0.5.0 -1      |    253 MB/s |  21221 MB/s |     1037015 |  19.40 | silesia/xml     |
| misa77 0.5.0 -2      |   15.6 MB/s |  19375 MB/s |      686811 |  12.85 | silesia/xml     |
| misa77 0.5.0 safe -0 |    244 MB/s |  22649 MB/s |     1087784 |  20.35 | silesia/xml     |
| misa77 0.5.0 safe -1 |    253 MB/s |  20975 MB/s |     1037015 |  19.40 | silesia/xml     |
| lz4hc 1.10.0 -9      |   95.8 MB/s |   8281 MB/s |      770055 |  14.41 | silesia/xml     |
| lz4hc 1.10.0 -12     |   36.4 MB/s |   8615 MB/s |      759893 |  14.22 | silesia/xml     |
| snappy 1.2.2         |   1434 MB/s |   5297 MB/s |     1299366 |  24.31 | silesia/xml     |
| zxc 0.13.1 -3        |    443 MB/s |  10344 MB/s |     1011752 |  18.93 | silesia/xml     |
| zxc 0.13.1 -4        |    329 MB/s |  10797 MB/s |      985654 |  18.44 | silesia/xml     |
| zxc 0.13.1 -5        |    218 MB/s |  12049 MB/s |      896781 |  16.78 | silesia/xml     |
| zxc 0.13.1 -7        |   8.07 MB/s |   8075 MB/s |      667395 |  12.49 | silesia/xml     |
| zstd 1.5.7 -1        |   1144 MB/s |   2782 MB/s |      693317 |  12.97 | silesia/xml     |
| lzav 5.11 -1         |   1355 MB/s |   7503 MB/s |      895702 |  16.76 | silesia/xml     |
| lzav 5.11 -2         |    349 MB/s |   8839 MB/s |      715265 |  13.38 | silesia/xml     |
| lz4 1.10.0           |    921 MB/s |   5477 MB/s |     7716839 |  35.72 | silesia/samba   |
| misa77 0.5.0 -0      |    176 MB/s |  16728 MB/s |     7128490 |  32.99 | silesia/samba   |
| misa77 0.5.0 -1      |    183 MB/s |  15086 MB/s |     6726112 |  31.13 | silesia/samba   |
| misa77 0.5.0 -2      |   13.9 MB/s |  12518 MB/s |     5972975 |  27.64 | silesia/samba   |
| misa77 0.5.0 safe -0 |    176 MB/s |  16507 MB/s |     7128490 |  32.99 | silesia/samba   |
| misa77 0.5.0 safe -1 |    183 MB/s |  14966 MB/s |     6726112 |  31.13 | silesia/samba   |
