fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
td_simdopt |     856    1682 |    1023    2633 |  1.59  1.58 |   8
huf0     |    1704    2870 |    2336    2425 |  1.60  1.61 |   8
huf0_stk |    1707     -   |    2307     -   |  1.60   -   |   8
fse_stk  |     740     852 |     840     834 |  1.61  1.61 |   8
fse_x8y1 |     922    1924 |    1938    2158 |  1.61  1.61 |   8
oo_huff  |    2279     -   |    3164     -   |  1.61   -   |   8
oo_tans  |     799     -   |    2460     -   |  1.61   -   |   8

== log_apache       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1003    1699 |    3613    5088 |  1.43  1.43 |   8
pha      |     996    1703 |    3613    5085 |  1.43  1.43 |   8
td_naive |      48      49 |     322     368 |  1.44  1.44 |   8
td_scl_opt |     110     122 |     470     595 |  1.43  1.43 |   8
td_nv_simd |      49      50 |     995    1602 |  1.44  1.44 |   8
td_simdopt |     996    1648 |    1236    2300 |  1.43  1.43 |   8
huf0     |    1792    2784 |    2258    2376 |  1.45  1.45 |   8
huf0_stk |    1793     -   |    2259     -   |  1.45   -   |   8
fse_stk  |     737     850 |     840     839 |  1.45  1.45 |   8
fse_x8y1 |    1188    1927 |    1985    2094 |  1.45  1.45 |   8
oo_huff  |    2464     -   |    3164     -   |  1.45   -   |   8
oo_tans  |     818     -   |    2453     -   |  1.45   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     792    2218 |    6986    9001 |  3.49  3.49 |   8
pha      |     778    1969 |    5029    6093 |  3.76  3.77 |   8
td_naive |     122     134 |     477     796 |  3.51  3.52 |   8
td_scl_opt |     164     186 |     512     847 |  3.49  3.49 |   8
td_nv_simd |     123     136 |     904    2860 |  3.51  3.52 |   8
td_simdopt |     788    2179 |     944    3275 |  3.49  3.49 |   8
huf0     |    1522    2778 |    2724    2789 |  3.53  3.53 |   8
huf0_stk |    1528     -   |    2880     -   |  3.53   -   |   8
fse_stk  |     682     884 |     814     840 |  3.83  3.83 |   8
fse_x8y1 |     732    1938 |    1867    2079 |  3.83  3.83 |   8
oo_huff  |    2042     -   |    3167     -   |  3.53   -   |   8
oo_tans  |     760     -   |    2492     -   |  3.83   -   |   8

== csv_numeric      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     736    1912 |    5056    7090 |  2.36  2.36 |   8
pha      |     671    1672 |    4986    6981 |  2.36  2.36 |   8
td_naive |      78      84 |     378     577 |  2.37  2.38 |   8
td_scl_opt |     138     155 |     451     748 |  2.36  2.36 |   8
td_nv_simd |      79      85 |     755    2204 |  2.37  2.38 |   8
td_simdopt |     716    1951 |     831    3178 |  2.36  2.36 |   8
huf0     |    1566    2874 |    2657    2724 |  2.39  2.40 |   8
huf0_stk |    1573     -   |    2624     -   |  2.39   -   |   8
fse_stk  |     690     880 |     822     837 |  2.42  2.42 |   8
fse_x8y1 |     746    1919 |    1892    2077 |  2.42  2.42 |   8
oo_huff  |    2045     -   |    3245     -   |  2.39   -   |   8
oo_tans  |     767     -   |    2477     -   |  2.42   -   |   8

== gzip_random      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1476    3845 |    3441    5447 |  1.00  1.00 |   8
pha      |    1482    3821 |    3502    5422 |  1.00  1.00 |   8
td_naive |      33      34 |     231     256 |  0.99  0.99 |   8
td_scl_opt |     777    1134 |    1265    2681 |  1.00  1.00 |   8
td_nv_simd |      33      33 |     656    1003 |  0.99  0.99 |   8
td_simdopt |    1475    3805 |    1688    5416 |  1.00  1.00 |   8
huf0       (n/a)
huf0_stk   (n/a)
fse_stk    (n/a)
fse_x8y1 |    1248    1916 |    1962    2175 |  0.99  1.00 |   8
oo_huff    (n/a)
oo_tans    (n/a)

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     987    1566 |    3498    5075 |  1.34  1.33 |   8
pha      |     943    1545 |    3533    5138 |  1.34  1.33 |   8
td_naive |      46      46 |     304     344 |  1.34  1.33 |   8
td_scl_opt |     117     116 |     488     584 |  1.34  1.33 |   8
td_nv_simd |      46      47 |     913    1450 |  1.34  1.33 |   8
td_simdopt |    1003    1575 |    1236    2377 |  1.34  1.33 |   8
huf0     |    1787    2786 |    2200    2211 |  1.36  1.36 |   8
huf0_stk |    1789     -   |    2078     -   |  1.36   -   |   8
fse_stk  |     742     849 |     844     831 |  1.37  1.37 |   8
fse_x8y1 |    1202    1925 |    1946    2090 |  1.37  1.37 |   8
oo_huff  |    2477     -   |    3194     -   |  1.36   -   |   8
oo_tans  |     807     -   |    2449     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     497    2445 |    5696   12179 |  4.60  4.58 |   8
pha      |     467    2049 |    4156    6871 |  6.13  6.08 |   8
td_naive |     186     271 |     371     914 |  4.63  4.59 |   8
td_scl_opt |     262     471 |     430    1399 |  4.60  4.58 |   8
td_nv_simd |     189     270 |     511    2820 |  4.63  4.59 |   8
td_simdopt |     495    2547 |     556    5816 |  4.60  4.58 |   8
huf0       (n/a)
huf0_stk |    1285     -   |    2548     -   |  4.79   -   |   8
fse_stk  |     618     863 |     642     673 |  6.42  6.50 |   8
fse_x8y1 |     371     876 |     636     673 |  6.49  6.50 |   8
oo_huff  |    1523     -   |    3116     -   |  4.79   -   |   8
oo_tans  |     690     -   |    2471     -   |  6.44   -   |   8

